iter	Passed	Remaining
0	5	1161
1	11	1109
2	16	1091
3	21	1077
4	27	1056
5	32	1043
6	37	1027
7	42	1013
8	47	1003
9	52	1004
10	58	998
11	63	992
12	68	981
13	72	969
14	78	965
15	84	969
16	89	960
17	94	954
18	99	943
19	103	934
20	108	928
21	113	920
22	118	911
23	123	903
24	127	893
25	132	884
26	136	876
27	141	867
28	145	859
29	150	851
30	154	842
31	159	835
32	163	828
33	168	821
34	172	814
35	177	807
36	181	800
37	186	793
38	190	787
39	195	783
40	200	777
41	205	771
42	209	765
43	214	759
44	218	753
45	223	748
46	228	742
47	232	737
48	237	732
49	242	726
50	246	721
51	251	716
52	256	710
53	260	704
54	265	698
55	269	692
56	273	686
57	278	681
58	283	676
59	288	672
60	292	666
61	294	654
62	298	649
63	303	644
64	304	632
65	309	627
66	313	622
67	317	616
68	322	611
69	326	606
70	331	601
71	335	596
72	340	592
73	344	587
74	349	581
75	353	576
76	357	571
77	363	567
78	367	562
79	371	557
80	376	553
81	381	548
82	386	544
83	390	539
84	395	535
85	400	530
86	405	526
87	409	521
88	413	516
89	418	511
90	423	506
91	427	501
92	431	497
93	436	492
94	440	487
95	445	482
96	450	477
97	454	472
98	458	468
99	463	463
100	468	458
101	472	454
102	477	449
103	481	444
104	486	440
105	490	435
106	495	430
107	499	425
108	504	420
109	508	416
110	512	411
111	517	406
112	521	401
113	526	396
114	530	392
115	534	387
116	539	382
117	543	377
118	548	373
119	553	368
120	557	364
121	562	359
122	567	355
123	572	350
124	577	346
125	581	341
126	586	337
127	590	332
128	595	327
129	600	323
130	604	318
131	609	313
132	613	309
133	618	304
134	622	299
135	626	295
136	631	290
137	635	285
138	640	281
139	645	276
140	649	271
141	653	266
142	657	262
143	662	257
144	666	252
145	670	248
146	675	243
147	679	238
148	684	234
149	688	229
150	692	224
151	697	220
152	701	215
153	705	210
154	710	206
155	714	201
156	719	196
157	723	192
158	727	187
159	732	183
160	736	178
161	740	173
162	745	169
163	750	164
164	755	160
165	759	155
166	764	151
167	769	146
168	773	141
169	778	137
170	783	132
171	788	128
172	792	123
173	797	119
174	801	114
175	806	109
176	810	105
177	814	100
178	819	96
179	823	91
180	828	86
181	832	82
182	837	77
183	841	73
184	846	68
185	850	64
186	854	59
187	859	54
188	863	50
189	868	45
190	872	41
191	877	36
192	881	31
193	886	27
194	890	22
195	895	18
196	897	13
197	902	9
198	906	4
199	910	0
